Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.pcmt.json	11971	-	0	0	0	0	0	0	7	132	0	0	0	0	0	0	0	0	0	0	74	73	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-AttributeType.json	429	29	1	0	0	0	0	0	0	32	0	0	1	0	0	0	0	1	0	0	19	3360	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ProductRelationship.json	1547	36	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	21	78	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-RegulatationType.json	470	32	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	12	68	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Status.json	442	3	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	11	56	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-pcmt-glossary-cs.json	382	5	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	11	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-GenericProduct.json	5940	10	0	0	0	0	0	82	0	162	0	0	0	0	0	0	0	1	0	0	255	2555	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-Product.json	11026	13	0	0	0	0	0	36	0	92	0	0	0	0	0	0	0	0	0	0	159	484	0	1	0	7	0	0
fsh-generated/resources/StructureDefinition-ProductAuthorization.json	4449	6	0	0	0	0	0	30	0	25	0	0	0	0	0	0	0	0	0	0	49	160	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-RegulatedTradeItem.json	4375	9	0	0	0	0	0	165	0	38	0	0	1	0	0	0	0	1	0	0	210	773	0	0	0	10	0	2
fsh-generated/resources/StructureDefinition-TradeItem.json	4146	6	1	0	0	0	0	123	0	36	0	0	0	0	0	0	0	1	0	0	205	633	0	0	0	11	0	0
fsh-generated/resources/ValueSet-AttributeType.json	374	4	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	15	8505	0	0	0	0	0	0
fsh-generated/resources/ValueSet-NameType.json	343	3	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	16	147	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ProductRelationship.json	408	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	93	0	0	0	1	0	0
fsh-generated/resources/ValueSet-RegulationType.json	409	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	926	0	0	0	0	0	1
fsh-generated/resources/ValueSet-Status.json	339	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	59	0	0	0	0	0	0
