Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.pcmt.json	11922	-	0	0	0	0	0	0	6	107	0	0	0	0	0	0	0	1	0	0	70	71	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-AttributeType.json	429	7	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	18	3514	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ProductRelationship.json	1547	6	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	14	96	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-RegulatationType.json	470	7	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	17	64	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-Status.json	442	8	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	11	63	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-pcmt-glossary-cs.json	382	6	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	12	68	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-GenericProduct.json	5940	9	0	0	0	0	0	67	0	106	0	0	0	0	0	0	0	2	0	0	313	2099	0	1	0	10	1	1
fsh-generated/resources/StructureDefinition-Product.json	11084	13	0	0	0	0	0	24	0	53	0	0	0	0	0	0	0	1	0	0	161	390	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ProductAuthorization.json	4449	6	0	0	0	0	0	30	0	28	0	0	0	0	0	0	0	0	0	0	55	225	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-RegulatedTradeItem.json	4375	8	1	0	0	0	0	75	0	36	0	0	0	0	0	0	0	1	0	0	206	888	0	0	0	7	0	3
fsh-generated/resources/StructureDefinition-TradeItem.json	4146	10	0	0	1	0	0	60	0	31	0	0	0	0	0	0	0	1	0	0	207	917	0	0	0	6	0	0
fsh-generated/resources/ValueSet-AttributeType.json	374	7	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	18	8928	0	0	0	0	0	0
fsh-generated/resources/ValueSet-NameType.json	343	7	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	18	99	0	0	1	0	0	0
fsh-generated/resources/ValueSet-ProductRelationship.json	408	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	97	0	0	0	1	0	0
fsh-generated/resources/ValueSet-RegulationType.json	409	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	328	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Status.json	339	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	89	0	0	0	0	0	0
