Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.pcmt.json	10209	-	0	0	0	0	0	0	10	114	0	0	0	0	0	0	0	1	0	0	74	62	0	0	0	8	0	1
fsh-generated/resources/CodeSystem-AttributeType.json	429	44	0	0	0	0	1	0	0	45	0	0	1	0	0	0	0	0	0	0	18	3900	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ProductRelationship.json	1547	43	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	29	136	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-RegulatationType.json	470	42	0	0	1	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	22	114	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-Status.json	442	42	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	32	97	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-pcmt-glossary-cs.json	382	41	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	23	74	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MedicationCatalogItem.json	1895	43	0	69	0	0	0	0	0	131	0	0	0	0	0	0	0	2	0	0	256	806	0	0	0	34	0	1
fsh-generated/resources/StructureDefinition-Product.json	11026	52	0	39	0	0	0	0	0	69	0	0	1	0	0	0	0	1	0	0	156	355	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-ProductAuthorization.json	4449	47	0	58	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	50	209	0	0	0	2	0	2
fsh-generated/resources/StructureDefinition-ProductID.json	1518	45	0	39	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	42	190	0	0	0	2	0	0
fsh-generated/resources/ValueSet-AttributeType.json	374	55	0	0	0	0	0	0	1	99	0	0	0	0	0	0	0	0	0	0	17	293	0	0	0	1	0	0
fsh-generated/resources/ValueSet-NameType.json	343	4	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	22	82	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ProductRelationship.json	408	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	88	0	0	0	0	0	0
fsh-generated/resources/ValueSet-RegulationType.json	409	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	715	0	0	0	0	0	0
fsh-generated/resources/ValueSet-Status.json	339	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	75	0	0	0	1	0	0
